ticker,as_of,insider,position,transaction,shares,value,ownership
META,2026-03-23,OLIVAN JAVIER,Chief Operating Officer,Sale at price 605.38 per share.,1555,941366.0,D/I
META,2026-03-16,KIMMITT ROBERT M,Director,Sale at price 632.02 per share.,580,366572.0,D
META,2026-03-16,OLIVAN JAVIER,Chief Operating Officer,Sale at price 632.02 per share.,1555,982791.0,D/I
META,2026-03-09,OLIVAN JAVIER,Chief Operating Officer,Sale at price 634.94 per share.,1555,987332.0,D/I
META,2026-03-02,OLIVAN JAVIER,Chief Operating Officer,Sale at price 637.21 per share.,1555,990862.0,D/I
META,2026-02-27,LI SUSAN J.,Chief Financial Officer,Sale at price 640.11 - 648.83 per share.,56571,36471144.0,I
META,2026-02-25,ALFORD PEGGY,Director,Sale at price 643.00 per share.,392,252056.0,I
META,2026-02-24,LI SUSAN J.,Chief Financial Officer,Sale at price 630.31 - 637.94 per share.,55702,35293175.0,I
META,2026-02-23,OLIVAN JAVIER,Chief Operating Officer,Sale at price 652.68 per share.,1555,1014917.0,D/I
META,2026-02-20,LI SUSAN J.,Chief Financial Officer,Sale at price 650.00 per share.,18789,12212850.0,I
META,2026-02-18,ANDERSON AARON,Officer,Stock Gift at price 0.00 per share.,167,0.0,D
META,2026-02-18,BOSWORTH ANDREW,Chief Technology Officer,Sale at price 630.68 - 632.49 per share.,8089,5106082.0,D
META,2026-02-17,KIMMITT ROBERT M,Director,Sale at price 639.18 per share.,580,370724.0,D
META,2026-02-17,OLIVAN JAVIER,Chief Operating Officer,Sale at price 639.18 - 639.77 per share.,3262,2086457.0,D/I
META,2026-02-13,LI SUSAN J.,Chief Financial Officer,Sale at price 639.77 per share.,6418,4106044.0,I
META,2026-02-09,OLIVAN JAVIER,Chief Operating Officer,Sale at price 663.19 per share.,517,342869.0,D
META,2026-02-02,OLIVAN JAVIER,Chief Operating Officer,Sale at price 714.60 per share.,517,369448.0,D
META,2026-01-26,OLIVAN JAVIER,Chief Operating Officer,Sale at price 665.00 per share.,517,343805.0,D
META,2026-01-20,OLIVAN JAVIER,Chief Operating Officer,Sale at price 608.35 per share.,517,314517.0,D
META,2026-01-15,KIMMITT ROBERT M,Director,Sale at price 618.28 per share.,580,358602.0,D
META,2026-01-12,OLIVAN JAVIER,Chief Operating Officer,Sale at price 653.00 per share.,517,337601.0,D
META,2026-01-05,OLIVAN JAVIER,Chief Operating Officer,Sale at price 650.41 per share.,517,336262.0,D
META,2025-12-30,NEWSTEAD JENNIFER,Officer,Sale at price 658.69 per share.,519,341860.0,D
META,2025-12-29,OLIVAN JAVIER,Chief Operating Officer,Sale at price 658.14 per share.,517,340258.0,D
META,2025-12-23,NEWSTEAD JENNIFER,Officer,Sale at price 659.38 per share.,519,342218.0,D
META,2025-12-22,OLIVAN JAVIER,Chief Operating Officer,Sale at price 661.11 per share.,517,341794.0,D
META,2025-12-16,NEWSTEAD JENNIFER,Officer,Sale at price 643.23 per share.,519,333836.0,D
META,2025-12-15,KIMMITT ROBERT M,Director,Sale at price 646.00 per share.,580,374680.0,D
META,2025-12-15,OLIVAN JAVIER,Chief Operating Officer,Sale at price 646.00 per share.,517,333982.0,D
META,2025-12-09,NEWSTEAD JENNIFER,Officer,Sale at price 664.16 per share.,519,344699.0,D
META,2025-12-08,OLIVAN JAVIER,Chief Operating Officer,Sale at price 669.63 per share.,517,346199.0,D
META,2025-12-02,NEWSTEAD JENNIFER,Officer,Sale at price 642.22 per share.,519,333312.0,D
META,2025-12-01,OLIVAN JAVIER,Chief Operating Officer,Sale at price 639.03 per share.,517,330379.0,D
META,2025-11-26,KIMMITT ROBERT M,Director,Stock Gift at price 0.00 per share.,600,0.0,D
META,2025-11-25,NEWSTEAD JENNIFER,Officer,Sale at price 624.14 per share.,519,323929.0,D
SPOT,2026-08-03,SODERSTROM GUSTAV STIG VICTOR,Chief Executive Officer,Conversion of Exercise of derivative security at price 151.25 per share.,20833,3150991.0,D
SPOT,2026-08-03,NORSTROM ALEX,Chief Executive Officer,Conversion of Exercise of derivative security at price 151.25 per share.,5436,822195.0,D
SPOT,2026-08-03,NORSTROM ALEX,Chief Executive Officer,Sale at price 499.96 - 506.04 per share.,5436,2729435.0,D
SPOT,2026-08-03,SODERSTROM GUSTAV STIG VICTOR,Chief Executive Officer,Sale at price 500.03 - 511.64 per share.,20833,10567336.0,D
SPOT,2026-07-06,SODERSTROM GUSTAV STIG VICTOR,Chief Executive Officer,Conversion of Exercise of derivative security at price 151.25 per share.,20833,3150991.0,D
SPOT,2026-07-06,NORSTROM ALEX,Chief Executive Officer,Conversion of Exercise of derivative security at price 151.25 per share.,5436,822195.0,D
SPOT,2026-07-06,NORSTROM ALEX,Chief Executive Officer,Sale at price 476.31 - 486.00 per share.,5436,2613965.0,D
SPOT,2026-07-06,SODERSTROM GUSTAV STIG VICTOR,Chief Executive Officer,Sale at price 474.96 - 485.82 per share.,20833,9967538.0,D
SPOT,2026-06-02,SODERSTROM GUSTAV STIG VICTOR,Chief Executive Officer,Conversion of Exercise of derivative security at price 151.25 per share.,20833,3150991.0,D
SPOT,2026-06-02,NORSTROM ALEX,Chief Executive Officer,Conversion of Exercise of derivative security at price 151.25 per share.,5436,822195.0,D
SPOT,2026-06-02,NORSTROM ALEX,Chief Executive Officer,Sale at price 498.27 per share.,5436,2708586.0,D
